timepoint,cd_name,empty_slots,free_bikes,slots
0,Bay Ridge and Dyker Heights (CD10),27,105,146
0,Bedford Stuyvesant (CD3),937,316,1372
0,Belmont and East Tremont (CD6),307,84,425
0,Borough Park (CD12),29,212,252
0,Brownsville (CD16),365,84,459
0,Bushwick (CD4),927,436,1449
0,Central Harlem (CD10),446,539,1092
0,Clinton and Chelsea (CD4),1714,1209,3438
0,Crown Heights and Prospect Heights (CD8),759,243,1108
0,East Flatbush (CD17),32,530,589
0,East Harlem (CD11),519,578,1209
0,East New York and Starrett City (CD5),44,17,66
0,Elmhurst and Corona (CD4),303,671,1013
0,Financial District (CD1),681,1885,2809
0,Flatbush and Midwood (CD14),74,413,526
0,Fordham and University Heights (CD5),606,265,955
0,Fort Greene and Brooklyn Heights (CD2),1277,1724,3275
0,Greenpoint and Williamsburg (CD1),1291,1929,3453
0,Greenwich Village and Soho (CD2),831,1878,3060
0,Highbridge and Concourse (CD4),588,598,1289
0,Hunts Point and Longwood (CD2),246,215,491
0,Jackson Heights (CD3),967,744,1783
0,Kingsbridge Heights and Bedford (CD7),524,398,1026
0,Long Island City and Astoria (CD1),1400,1483,3046
0,Lower East Side and Chinatown (CD3),1934,1529,3864
0,Midtown (CD5),2384,1285,4178
0,Morningside Heights and Hamilton Heights (CD9),723,259,1095
0,Morrisania and Crotona (CD3),356,396,830
0,Mott Haven and Melrose (CD1),492,558,1151
0,Park Slope and Carroll Gardens (CD6),672,1239,2132
0,Ridgewood and Maspeth (CD5),721,595,1380
0,Riverdale and Fieldston (CD8),155,11,167
0,South Crown Heights and Lefferts Gardens (CD9),496,579,1128
0,Stuyvesant Town and Turtle Bay (CD6),1543,639,2496
0,Sunset Park (CD7),560,1066,1699
0,Upper East Side (CD8),1213,627,2088
0,Upper West Side (CD7),1121,462,1884
0,Washington Heights and Inwood (CD12),797,600,1515
0,Woodside and Sunnyside (CD2),1061,1035,2218
1,Bay Ridge and Dyker Heights (CD10),28,104,146
1,Bedford Stuyvesant (CD3),948,305,1372
1,Belmont and East Tremont (CD6),303,89,425
1,Borough Park (CD12),32,208,252
1,Brownsville (CD16),362,86,459
1,Bushwick (CD4),883,472,1449
1,Central Harlem (CD10),432,550,1092
1,Clinton and Chelsea (CD4),1566,1363,3438
1,Crown Heights and Prospect Heights (CD8),748,251,1108
1,East Flatbush (CD17),30,533,589
1,East Harlem (CD11),515,578,1209
1,East New York and Starrett City (CD5),46,15,66
1,Elmhurst and Corona (CD4),300,673,1013
1,Financial District (CD1),851,1720,2809
1,Flatbush and Midwood (CD14),71,418,526
1,Fordham and University Heights (CD5),602,269,955
1,Fort Greene and Brooklyn Heights (CD2),1299,1702,3275
1,Greenpoint and Williamsburg (CD1),1214,2011,3453
1,Greenwich Village and Soho (CD2),761,1941,3060
1,Highbridge and Concourse (CD4),583,598,1289
1,Hunts Point and Longwood (CD2),238,224,491
1,Jackson Heights (CD3),954,757,1783
1,Kingsbridge Heights and Bedford (CD7),520,403,1026
1,Long Island City and Astoria (CD1),1363,1511,3046
1,Lower East Side and Chinatown (CD3),1683,1800,3864
1,Midtown (CD5),2785,871,4178
1,Morningside Heights and Hamilton Heights (CD9),718,263,1095
1,Morrisania and Crotona (CD3),343,408,830
1,Mott Haven and Melrose (CD1),492,560,1151
1,Park Slope and Carroll Gardens (CD6),578,1315,2132
1,Ridgewood and Maspeth (CD5),706,607,1380
1,Riverdale and Fieldston (CD8),156,10,167
