measurement_id,peak_relint_tic,formula_string,C,H,N,O,S,formula_class,sample_id,timepoint,time,radiation_dose
7803,6.29e-05,C26 H30 O15,26,30,0,15,0,CHO,1713,0,0h,0.0
7803,6.13e-05,C12 H11 N1 O8,12,11,1,8,0,CHNO,1713,0,0h,0.0
7803,4.56e-05,C19 H8 O6,19,8,0,6,0,CHO,1713,0,0h,0.0
7803,3.83e-05,C18 H20 O9 S1,18,20,0,9,1,CHOS,1713,0,0h,0.0
7803,0.000432536,C20 H18 O8,20,18,0,8,0,CHO,1713,0,0h,0.0
7803,3.47e-05,C22 H28 N2 O12 S1,22,28,2,12,1,CHNOS,1713,0,0h,0.0
7803,5.45e-05,C20 H26 O9 S1,20,26,0,9,1,CHOS,1713,0,0h,0.0
7803,8.18e-05,C30 H38 O13,30,38,0,13,0,CHO,1713,0,0h,0.0
7803,0.00014235,C27 H30 O11,27,30,0,11,0,CHO,1713,0,0h,0.0
7803,7.34e-05,C32 H46 O12,32,46,0,12,0,CHO,1713,0,0h,0.0
7803,3.49e-05,C25 H18 O9 S1,25,18,0,9,1,CHOS,1713,0,0h,0.0
7803,7.03e-05,C16 H30 O5,16,30,0,5,0,CHO,1713,0,0h,0.0
7803,4.81e-05,C19 H18 O3,19,18,0,3,0,CHO,1713,0,0h,0.0
7803,0.000526246,C16 H12 O10,16,12,0,10,0,CHO,1713,0,0h,0.0
7803,4.5e-05,C20 H22 N2 O6,20,22,2,6,0,CHNO,1713,0,0h,0.0
7803,5.32e-05,C17 H26 O3 S1,17,26,0,3,1,CHOS,1713,0,0h,0.0
7803,0.000325022,C21 H22 O7,21,22,0,7,0,CHO,1713,0,0h,0.0
7803,5.76e-05,C25 H24 O7,25,24,0,7,0,CHO,1713,0,0h,0.0
7803,8.72e-05,C20 H14 O13,20,14,0,13,0,CHO,1713,0,0h,0.0
7803,9.91e-05,C15 H12 O12,15,12,0,12,0,CHO,1713,0,0h,0.0
7803,8.04e-05,C25 H18 O8 S1,25,18,0,8,1,CHOS,1713,0,0h,0.0
7803,6.15e-05,C14 H25 N1 O5,14,25,1,5,0,CHNO,1713,0,0h,0.0
