measurement_id,formula_string,formula_class,C,H,O,N,S
7803,C26 H30 O15,CHO,26,30,15,0,0
7803,C12 H11 N1 O8,CHNO,12,11,8,1,0
7803,C19 H8 O6,CHO,19,8,6,0,0
7803,C18 H20 O9 S1,CHOS,18,20,9,0,1
7803,C20 H18 O8,CHO,20,18,8,0,0
7803,C22 H28 N2 O12 S1,CHNOS,22,28,12,2,1
7803,C20 H26 O9 S1,CHOS,20,26,9,0,1
7803,C30 H38 O13,CHO,30,38,13,0,0
7803,C27 H30 O11,CHO,27,30,11,0,0
7803,C32 H46 O12,CHO,32,46,12,0,0
7803,C25 H18 O9 S1,CHOS,25,18,9,0,1
7803,C16 H30 O5,CHO,16,30,5,0,0
7803,C19 H18 O3,CHO,19,18,3,0,0
7803,C16 H12 O10,CHO,16,12,10,0,0
7803,C20 H22 N2 O6,CHNO,20,22,6,2,0
7803,C17 H26 O3 S1,CHOS,17,26,3,0,1
7803,C21 H22 O7,CHO,21,22,7,0,0
7803,C25 H24 O7,CHO,25,24,7,0,0
7803,C20 H14 O13,CHO,20,14,13,0,0
7803,C15 H12 O12,CHO,15,12,12,0,0
7803,C25 H18 O8 S1,CHOS,25,18,8,0,1
7803,C14 H25 N1 O5,CHNO,14,25,5,1,0
7803,C14 H18 N2 O6,CHNO,14,18,6,2,0
7803,C18 H17 N1 O4,CHNO,18,17,4,1,0
7803,C34 H48 O12,CHO,34,48,12,0,0
7803,C28 H34 O11,CHO,28,34,11,0,0
7803,C23 H28 O5,CHO,23,28,5,0,0
7803,C18 H9 N1 O9,CHNO,18,9,9,1,0
7803,C16 H27 N1 O10,CHNO,16,27,10,1,0
7803,C12 H12 N2 O4,CHNO,12,12,4,2,0
7803,C20 H22 O1,CHO,20,22,1,0,0
7803,C18 H16 O12,CHO,18,16,12,0,0
7803,C19 H12 O9,CHO,19,12,9,0,0
7803,C14 H23 N1 O7,CHNO,14,23,7,1,0
7803,C19 H13 N1 O6,CHNO,19,13,6,1,0
7803,C21 H26 O11,CHO,21,26,11,0,0
7803,C17 H16 O5,CHO,17,16,5,0,0
