formula_string,transformation_unit,new_C,new_H,new_O,new_N,new_S,tu_C,tu_H,tu_O,tu_N,tu_S,new_formula
C15 H11 N1 O6,O1,15,11,5,1,0,0,0,1,0,0,C15 H11 N1 O5
C15 H11 N1 O6,H2 O1,15,9,5,1,0,0,2,1,0,0,C15 H9 N1 O5
C15 H11 N1 O6,-C1 -H2 O1,16,13,5,1,0,-1,-2,1,0,0,C16 H13 N1 O5
C15 H11 N1 O6,-H2 O1,15,13,5,1,0,0,-2,1,0,0,C15 H13 N1 O5
C15 H11 N1 O6,-H4 O2,15,15,4,1,0,0,-4,2,0,0,C15 H15 N1 O4
C15 H11 N1 O6,O2,15,11,4,1,0,0,0,2,0,0,C15 H11 N1 O4
C15 H11 N1 O6,-H1 O2 N1,15,12,4,0,0,0,-1,2,1,0,C15 H12 O4
C26 H20 O15,O1,26,20,14,0,0,0,0,1,0,0,C26 H20 O14
C26 H20 O15,H2 O1,26,18,14,0,0,0,2,1,0,0,C26 H18 O14
C26 H20 O15,-C1 -H2 O1,27,22,14,0,0,-1,-2,1,0,0,C27 H22 O14
C26 H20 O15,-H2 O1,26,22,14,0,0,0,-2,1,0,0,C26 H22 O14
C26 H20 O15,-H4 O2,26,24,13,0,0,0,-4,2,0,0,C26 H24 O13
C26 H20 O15,O2,26,20,13,0,0,0,0,2,0,0,C26 H20 O13
C15 H17 N1 O8,O1,15,17,7,1,0,0,0,1,0,0,C15 H17 N1 O7
C15 H17 N1 O8,H2 O1,15,15,7,1,0,0,2,1,0,0,C15 H15 N1 O7
C15 H17 N1 O8,-C1 -H2 O1,16,19,7,1,0,-1,-2,1,0,0,C16 H19 N1 O7
C15 H17 N1 O8,-H2 O1,15,19,7,1,0,0,-2,1,0,0,C15 H19 N1 O7
C15 H17 N1 O8,-H1 O1 -N1,15,18,7,2,0,0,-1,1,-1,0,C15 H18 N2 O7
C15 H17 N1 O8,-H4 O2,15,21,6,1,0,0,-4,2,0,0,C15 H21 N1 O6
C15 H17 N1 O8,O2,15,17,6,1,0,0,0,2,0,0,C15 H17 N1 O6
C15 H17 N1 O8,-H1 O2 N1,15,18,6,0,0,0,-1,2,1,0,C15 H18 O6
C20 H21 N1 O10,O1,20,21,9,1,0,0,0,1,0,0,C20 H21 N1 O9
C20 H21 N1 O10,H2 O1,20,19,9,1,0,0,2,1,0,0,C20 H19 N1 O9
C20 H21 N1 O10,-C1 -H2 O1,21,23,9,1,0,-1,-2,1,0,0,C21 H23 N1 O9
C20 H21 N1 O10,-H2 O1,20,23,9,1,0,0,-2,1,0,0,C20 H23 N1 O9
C20 H21 N1 O10,-H1 O1 -N1,20,22,9,2,0,0,-1,1,-1,0,C20 H22 N2 O9
C20 H21 N1 O10,-H4 O2,20,25,8,1,0,0,-4,2,0,0,C20 H25 N1 O8
C20 H21 N1 O10,O2,20,21,8,1,0,0,0,2,0,0,C20 H21 N1 O8
C20 H21 N1 O10,-H1 O2 N1,20,22,8,0,0,0,-1,2,1,0,C20 H22 O8
C33 H46 O11,O1,33,46,10,0,0,0,0,1,0,0,C33 H46 O10
C33 H46 O11,H2 O1,33,44,10,0,0,0,2,1,0,0,C33 H44 O10
C33 H46 O11,-C1 -H2 O1,34,48,10,0,0,-1,-2,1,0,0,C34 H48 O10
C33 H46 O11,-H2 O1,33,48,10,0,0,0,-2,1,0,0,C33 H48 O10
C33 H46 O11,-H4 O2,33,50,9,0,0,0,-4,2,0,0,C33 H50 O9
C33 H46 O11,O2,33,46,9,0,0,0,0,2,0,0,C33 H46 O9
C16 H22 O8,O1,16,22,7,0,0,0,0,1,0,0,C16 H22 O7
C16 H22 O8,H2 O1,16,20,7,0,0,0,2,1,0,0,C16 H20 O7
C16 H22 O8,-C1 -H2 O1,17,24,7,0,0,-1,-2,1,0,0,C17 H24 O7
C16 H22 O8,-H2 O1,16,24,7,0,0,0,-2,1,0,0,C16 H24 O7
C16 H22 O8,-H1 O1 -N1,16,23,7,1,0,0,-1,1,-1,0,C16 H23 N1 O7
C16 H22 O8,-H4 O2,16,26,6,0,0,0,-4,2,0,0,C16 H26 O6
C9 H5 N1 O5,O1,9,5,4,1,0,0,0,1,0,0,C9 H5 N1 O4
C9 H5 N1 O5,-C1 -H2 O1,10,7,4,1,0,-1,-2,1,0,0,C10 H7 N1 O4
C9 H5 N1 O5,-H2 O1,9,7,4,1,0,0,-2,1,0,0,C9 H7 N1 O4
C9 H5 N1 O5,-H1 O1 -N1,9,6,4,2,0,0,-1,1,-1,0,C9 H6 N2 O4
C9 H5 N1 O5,-H4 O2,9,9,3,1,0,0,-4,2,0,0,C9 H9 N1 O3
C9 H5 N1 O5,O2,9,5,3,1,0,0,0,2,0,0,C9 H5 N1 O3
C9 H5 N1 O5,-H1 O2 N1,9,6,3,0,0,0,-1,2,1,0,C9 H6 O3
C15 H17 N1 O4,O1,15,17,3,1,0,0,0,1,0,0,C15 H17 N1 O3
C15 H17 N1 O4,H2 O1,15,15,3,1,0,0,2,1,0,0,C15 H15 N1 O3
C15 H17 N1 O4,-C1 -H2 O1,16,19,3,1,0,-1,-2,1,0,0,C16 H19 N1 O3
C15 H17 N1 O4,-H2 O1,15,19,3,1,0,0,-2,1,0,0,C15 H19 N1 O3
C15 H17 N1 O4,-H1 O1 -N1,15,18,3,2,0,0,-1,1,-1,0,C15 H18 N2 O3
C13 H16 O8,O1,13,16,7,0,0,0,0,1,0,0,C13 H16 O7
C13 H16 O8,H2 O1,13,14,7,0,0,0,2,1,0,0,C13 H14 O7
C13 H16 O8,-C1 -H2 O1,14,18,7,0,0,-1,-2,1,0,0,C14 H18 O7
C13 H16 O8,-H2 O1,13,18,7,0,0,0,-2,1,0,0,C13 H18 O7
C13 H16 O8,-H1 O1 -N1,13,17,7,1,0,0,-1,1,-1,0,C13 H17 N1 O7
C22 H20 O8,O1,22,20,7,0,0,0,0,1,0,0,C22 H20 O7
