measurement_id,peak_relint_tic,formula_string,C,H,N,O,S,formula_mass_nominal,timepoint
21677,3.53485708368003e-05,C20 H12 O16 S1,20,12,0,16,1,540,0
21677,0.0001066257745939,C25 H12 N2 O13,25,12,2,13,0,548,0
21677,3.41376346398805e-05,C24 H14 O22 S1,24,14,0,22,1,686,0
21677,6.36483560254728e-05,C31 H18 O23,31,18,0,23,0,758,0
21677,3.76009021012831e-05,C27 H34 N2 O22 S1,27,34,2,22,1,770,0
21677,4.2413455345876e-05,C38 H72 O4,38,72,0,4,0,593,0
21677,7.46383440693921e-05,C27 H23 N1 O16,27,23,1,16,0,617,0
21677,0.0011841733498622,C22 H22 O16,22,22,0,16,0,542,0
21677,2.07272834703354e-05,C16 13C1 H12 O9,16,12,0,9,0,361,0
21677,9.72265552474161e-05,C19 H20 O9,19,20,0,9,0,392,0
21677,3.26927618698125e-05,C38 H74 O9,38,74,0,9,0,675,0
21677,4.98471043885381e-05,C36 H30 O20 S1,36,30,0,20,1,814,0
21677,0.0008187966203266,C28 H22 O19,28,22,0,19,0,662,0
21677,5.4416162361295e-05,C28 H25 N1 O17,28,25,1,17,0,647,0
21677,9.52333150263125e-05,C23 13C1 H18 N2 O19,23,18,2,19,0,639,0
21677,0.0003247014480826,C22 13C1 H16 O15,22,16,0,15,0,533,0
21677,5.20526483383912e-05,C26 H17 N1 O15 S1,26,17,1,15,1,615,0
21677,5.0774801250657e-05,C31 H27 N1 O14 S1 34S1,31,27,1,14,1,703,0
21677,0.0003355616390602,C25 H18 O14,25,18,0,14,0,542,0
21677,0.000122973664797,C18 H19 N1 O11,18,19,1,11,0,425,0
21677,9.46099872539885e-05,C23 H12 O18,23,12,0,18,0,576,0
21677,0.0001424366845935,C20 13C1 H22 O16,20,22,0,16,0,531,0
21677,2.59322464505317e-05,C12 13C1 H12 O11,12,12,0,11,0,345,0
21677,2.64348327657469e-05,C12 H10 O12,12,10,0,12,0,346,0
21677,4.70252759180257e-05,C22 H15 N1 O14 S1,22,15,1,14,1,549,0
21677,8.00259285034654e-05,C35 H32 O21,35,32,0,21,0,788,0
21677,6.09799698233694e-05,C13 H11 N1 O8,13,11,1,8,0,309,0
21677,0.0006001318291451,C13 H10 O11,13,10,0,11,0,342,0
21677,4.50873755314302e-05,C27 H20 N2 O21 S1,27,20,2,21,1,740,0
21677,4.0210426843046e-05,C25 H20 N2 O23 S1,25,20,2,23,1,748,0
21677,8.20614282345571e-05,C23 13C1 H16 O14,23,16,0,14,0,529,0
21677,0.0001529034596566,C21 13C1 H22 O17,21,22,0,17,0,559,0
21677,0.0001692151274226,C21 H19 N1 O13,21,19,1,13,0,493,0
21677,0.00013382077545,C21 H15 N1 O12,21,15,1,12,0,473,0
21677,4.49968194385987e-05,C22 H11 N1 O14,22,11,1,14,0,513,0
21677,4.07311243768275e-05,C31 13C1 H30 O23,31,30,0,23,0,783,0
21677,4.4313624027125e-05,C19 13C1 H14 O17,19,14,0,17,0,527,0
21677,9.83454260832905e-05,C24 H15 N1 O15,24,15,1,15,0,557,0
21677,6.58262300580718e-05,C14 H8 O8,14,8,0,8,0,304,0
21677,0.000181389387925,C20 H16 N2 O18,20,16,2,18,0,572,0
21677,2.17802495942046e-05,C19 H23 N1 O12,19,23,1,12,0,457,0
21677,1.61054011100933e-05,C9 H9 N1 O6,9,9,1,6,0,227,0
21677,1.74250046184111e-05,C7 13C1 H8 O4 S1,7,8,0,4,1,201,0
21677,0.0002964283266324,C30 H26 O22,30,26,0,22,0,738,0
21677,0.000413423276945,C19 H18 O16,19,18,0,16,0,502,0
21677,5.86038785653501e-05,C27 H25 N1 O24,27,25,1,24,0,747,0
21677,0.0012202302705807,C26 H20 O17,26,20,0,17,0,604,0
21677,4.24557148558641e-05,C31 H30 O17,31,30,0,17,0,674,0
21677,5.18841133878436e-05,C26 H18 N2 O14 S1,26,18,2,14,1,614,0
21677,2.71768896375611e-05,C34 H71 N1 O8,34,71,1,8,0,622,0
21677,7.027454657372e-05,C27 H14 N2 O16,27,14,2,16,0,622,0
21677,6.90696474496556e-05,C20 H10 O16,20,10,0,16,0,506,0
21677,8.79420402851578e-05,C11 H8 O6,11,8,0,6,0,236,0
21677,0.0001443725726225,C21 H18 N2 O19,21,18,2,19,0,602,0
21677,0.0015026410171323,C22 H20 O16,22,20,0,16,0,540,0
21677,3.16277216002324e-05,C43 H78 N2 O3 34S1,43,78,2,3,0,705,0
21677,4.25608605414296e-05,C22 H10 N2 O15,22,10,2,15,0,542,0
21677,1.93895687434513e-05,C9 13C1 H8 O7,9,8,0,7,0,241,0
21677,0.0005595209431359,C17 H10 O12,17,10,0,12,0,406,0
21677,5.42325347286088e-05,C29 H25 N1 O22,29,25,1,22,0,739,0
21677,2.85568638744332e-05,C18 13C1 H10 O12,18,10,0,12,0,431,0
21677,3.32572281817959e-05,C21 H23 N1 O11,21,23,1,11,0,465,0
21677,0.0001940773027095,C25 H24 O20,25,24,0,20,0,644,0
21677,0.000108972183577,C25 H28 O19,25,28,0,19,0,632,0
21677,0.0003698874291374,C16 H12 O9,16,12,0,9,0,348,0
21677,1.60314469676142e-05,C12 13C1 H18 O10,12,18,0,10,0,335,0
21677,8.51252427086916e-05,C25 13C1 H24 O15,25,24,0,15,0,577,0
21677,6.51822756201585e-05,C23 H14 O19,23,14,0,19,0,594,0
21677,0.0002107205063932,C10 H8 O7,10,8,0,7,0,240,0
21677,4.92328322254973e-05,C24 H10 O18,24,10,0,18,0,586,0
21677,4.06365435687589e-05,C33 H22 O20 S1,33,22,0,20,1,770,0
21677,1.44899810318592e-05,C12 H14 O4,12,14,0,4,0,222,0
21677,3.01773148467135e-05,C34 H66 O7,34,66,0,7,0,586,0
21677,1.53326557845973e-05,C12 H6 O1 S1,12,6,0,1,1,198,0
21677,5.82718395583011e-05,C24 13C1 H24 N2 O25 S1,24,24,2,25,1,785,0
21677,5.82718395583011e-05,C32 13C1 H20 O23,32,20,0,23,0,785,0
21677,0.0003135690857372,C28 H24 O21,28,24,0,21,0,696,0
21677,6.13552745192158e-05,C12 H8 O6,12,8,0,6,0,248,0
21677,7.63543820285502e-05,C31 13C1 H28 O22,31,28,0,22,0,765,0
21677,0.0001261894122713,C24 H21 N1 O16,24,21,1,16,0,579,0
21677,0.001773053584473,C22 H18 O16,22,18,0,16,0,538,0
21677,2.72342418296877e-05,C22 H15 N1 O17 34S1,22,15,1,17,0,599,0
21677,9.83514631561459e-05,C24 H28 O18,24,28,0,18,0,604,0
21677,3.6926259209688e-05,C20 H15 N1 O22,20,15,1,22,0,621,0
21677,4.66187796790929e-05,C20 H17 N1 O10,20,17,1,10,0,431,0
21677,0.0003814635163377,C29 H26 O21,29,26,0,21,0,710,0
21677,2.62325908250897e-05,C41 H68 O1,41,68,0,1,0,577,0
21677,7.70124229697929e-05,C20 H19 N1 O11,20,19,1,11,0,449,0
21677,1.38565914714429e-05,C15 H8 O4,15,8,0,4,0,252,0
21677,5.31051113728558e-05,C30 H22 N2 O16,30,22,2,16,0,666,0
21677,0.0001726537435032,C20 H15 N1 O12,20,15,1,12,0,461,0
21677,2.24070989923608e-05,C16 H11 N1 O11 S1,16,11,1,11,1,425,0
21677,9.55331563114658e-05,C27 H26 N2 O25 S1,27,26,2,25,1,810,0
21677,9.55331563114658e-05,C35 H22 O23,35,22,0,23,0,810,0
21677,0.0001122422647071,C18 H16 O9 S1,18,16,0,9,1,408,0
21677,0.000129376986739,C21 H12 O7 S1,21,12,0,7,1,408,0
21677,2.83098469767648e-05,C35 H70 O4,35,70,0,4,0,555,0
21677,0.0001605886534016,C7 H8 O6,7,8,0,6,0,188,0
21677,5.72802503417955e-05,C24 H27 N1 O21 S1,24,27,1,21,1,697,0
21677,0.0017622482302406,C22 H18 O14,22,18,0,14,0,506,0
21677,1.62477754116007e-05,C9 H4 N2 O9 S1,9,4,2,9,1,316,0
21677,0.0002184404133071,C23 13C1 H20 O18,23,20,0,18,0,597,0
21677,5.04166015945677e-05,C29 H14 N2 O17,29,14,2,17,0,662,0
21677,7.39380436181613e-05,C11 H16 O12 S1,11,16,0,12,1,372,0
21677,3.15044646961005e-05,C39 H71 N1 O6,39,71,1,6,0,650,0
21677,0.0001659465555608,C22 13C1 H14 O16,22,14,0,16,0,547,0
21677,1.77198150095183e-05,C17 13C1 H20 O9,17,20,0,9,0,381,0
21677,0.0001900385009692,C11 H12 O6,11,12,0,6,0,240,0
21677,0.0009000908372191,C25 H16 O17,25,16,0,17,0,588,0
21677,2.31290322879902e-05,C17 13C1 H22 O9,17,22,0,9,0,383,0
21677,5.91799159336398e-05,C20 13C1 H18 N2 O19,20,18,2,19,0,603,0
21677,5.91799159336398e-05,C22 H21 N1 O17 S1,22,21,1,17,1,603,0
21677,5.98882658153445e-05,C15 H15 N1 O8,15,15,1,8,0,337,0
21677,4.08558905491732e-05,C28 H23 N1 O10 S1 34S1,28,23,1,10,1,599,0
21677,2.8003968618756e-05,C15 13C1 H12 O14,15,12,0,14,0,429,0
21677,0.0001214060382122,C28 H22 O22,28,22,0,22,0,710,0
21677,2.35516273878709e-05,C13 13C1 H10 O12,13,10,0,12,0,371,0
21677,0.0003482098097817,C31 H24 O22,31,24,0,22,0,748,0
21677,1.91350055047137e-05,C16 H6 O5 S1,16,6,0,5,1,310,0
21677,3.00289034723507e-05,C21 13C1 H24 O12,21,24,0,12,0,481,0
21677,3.88616441492603e-05,C22 H16 N2 O18 S1,22,16,2,18,1,628,0
21677,3.88616441492603e-05,C30 H12 O16,30,12,0,16,0,628,0
21677,0.0003254701686929,C32 H28 O21,32,28,0,21,0,748,0
21677,1.89096214514441e-05,C15 H7 N1 O9,15,7,1,9,0,345,0
21677,1.64771841801074e-05,C14 13C1 H20 O8,14,20,0,8,0,329,0
21677,0.0002582488717158,C25 H24 O14,25,24,0,14,0,548,0
21677,0.0014148448727745,C21 H18 O13,21,18,0,13,0,478,0
21677,0.000283856122411,C22 H16 O6 S1,22,16,0,6,1,408,0
21677,0.0002397060024403,C26 H28 O16,26,28,0,16,0,596,0
21677,2.51906926681221e-05,C14 H10 O3 S1,14,10,0,3,1,258,0
21677,5.71323420568372e-05,C24 H22 N2 O20 S1,24,22,2,20,1,690,0
21677,5.92473299138588e-05,C16 H17 N1 O12,16,17,1,12,0,415,0
21677,0.0013445899466875,C23 H20 O17,23,20,0,17,0,568,0
21677,0.0005335846719702,C21 H20 O17,21,20,0,17,0,544,0
21677,0.0001576018116064,C18 13C1 H12 O14,18,12,0,14,0,465,0
21677,4.80651617173748e-05,C19 H18 O20 34S1,19,18,0,20,0,600,0
21677,0.0002899193559154,C30 H26 O18,30,26,0,18,0,674,0
21677,0.000614845684962,C24 H16 O18,24,16,0,18,0,592,0
21677,2.54331817611489e-05,C15 H6 O11,15,6,0,11,0,362,0
21677,0.0001255907358798,C38 H30 O24,38,30,0,24,0,870,0
21677,3.11196013015664e-05,C20 H8 O15,20,8,0,15,0,488,0
21677,0.000309450795871,C21 13C1 H16 O14,21,16,0,14,0,505,0
21677,3.25051095218893e-05,C26 H27 N1 O21,26,27,1,21,0,689,0
21677,0.0001939751755604,C18 H13 N1 O11,18,13,1,11,0,419,0
21677,0.0017778907890984,C23 H20 O16,23,20,0,16,0,552,0
21677,0.0009598950871039,C23 H16 O14,23,16,0,14,0,516,0
21677,8.58924540507368e-05,C27 13C1 H28 O19,27,28,0,19,0,669,0
21677,0.0004923796373742,C26 H20 O15,26,20,0,15,0,572,0
21677,6.30869082499171e-05,C12 13C1 H10 O9,12,10,0,9,0,311,0
21677,2.18094287796725e-05,C11 13C1 H10 O8,11,10,0,8,0,283,0
21677,0.0008238818480285,C22 H20 O13,22,20,0,13,0,492,0
21677,0.0001974801994424,C16 13C1 H12 O13,16,12,0,13,0,425,0
21677,3.19169980078887e-05,C16 H14 O7,16,14,0,7,0,318,0
21677,6.30335807730274e-05,C34 H28 O19,34,28,0,19,0,740,0
21677,5.75287765076776e-05,C29 H21 N1 O19 S1,29,21,1,19,1,719,0
21677,0.000365624752612,C17 H22 O10,17,22,0,10,0,386,0
21677,0.0001301225652366,C21 H20 N2 O18,21,20,2,18,0,588,0
21677,4.98722588587691e-05,C29 H14 N2 O19,29,14,2,19,0,694,0
21677,7.81680193322045e-05,C17 H11 N1 O10,17,11,1,10,0,389,0
21677,0.0001793730055913,C16 H12 O14,16,12,0,14,0,428,0
21677,7.78203845536123e-05,C29 H32 O20,29,32,0,20,0,700,0
21677,2.29328274201885e-05,C11 H10 O12 S1,11,10,0,12,1,366,0
21677,6.91269996417823e-05,C29 H24 O24,29,24,0,24,0,756,0
21677,4.59526893073763e-05,C36 H76 N2 O4 S1,36,76,2,4,1,633,0
21677,0.0001266024486725,C25 H12 O18,25,12,0,18,0,600,0
21677,1.59333445337134e-05,C11 H8 O4,11,8,0,4,0,204,0
21677,0.0002179041200017,C9 H12 O8,9,12,0,8,0,248,0
21677,6.16490787315137e-05,C27 H32 O17,27,32,0,17,0,628,0
21677,3.9773745239836e-05,C43 H76 O9,43,76,0,9,0,737,0
21677,6.8829673803652e-05,C37 H32 O25 S1,37,32,0,25,1,908,0
21677,0.0005275808030154,C29 H26 O19,29,26,0,19,0,678,0
21677,7.99917184239513e-05,C28 H23 N1 O17,28,23,1,17,0,645,0
21677,6.1034806568473e-05,C51 H86 O14 S1,51,86,0,14,1,955,0
21677,0.0002395822424468,C21 13C1 H22 O15,21,22,0,15,0,527,0
21677,0.0001461997933401,C14 H18 N2 O14 S1,14,18,2,14,1,470,0
21677,0.0001461997933401,C22 H14 O12,22,14,0,12,0,470,0
21677,0.0001068350597862,C30 H16 O19,30,16,0,19,0,680,0
21677,0.0001873243336313,C33 H28 O20,33,28,0,20,0,744,0
21677,2.11735237722331e-05,C10 H5 N1 O7,10,5,1,7,0,251,0
21677,4.10359965560271e-05,C23 H17 N1 O11 S1,23,17,1,11,1,515,0
21677,0.0001005590194636,C20 H24 O10,20,24,0,10,0,424,0
21677,4.21508426766645e-05,C28 H23 N1 O22,28,23,1,22,0,725,0
21677,0.0001006525940928,C30 13C1 H24 O19,30,24,0,19,0,701,0
21677,0.0001086497032687,C23 H17 N1 O16,23,17,1,16,0,563,0
21677,8.65545197072164e-05,C26 13C1 H16 O17,26,16,0,17,0,613,0
21677,6.85172552833831e-05,C28 H22 N2 O17 S1,28,22,2,17,1,690,0
21677,2.33539132518553e-05,C15 H10 O7,15,10,0,7,0,302,0
21677,5.085680482361e-05,C31 H21 N1 O21,31,21,1,21,0,743,0
21677,5.32681123399526e-05,C23 13C1 H12 O16,23,12,0,16,0,557,0
21677,0.0022282584364717,C18 H14 O12,18,14,0,12,0,422,0
21677,0.000116805285607,C27 13C1 H22 O21,27,22,0,21,0,695,0
21677,0.000339660811529,C21 H22 N2 O22 S1,21,22,2,22,1,686,0
21677,0.000339660811529,C29 H18 O20,29,18,0,20,0,686,0
21677,0.0003249806627022,C32 H26 O20,32,26,0,20,0,730,0
21677,0.0004812618646215,C13 H14 O11,13,14,0,11,0,346,0
21677,3.58219779665475e-05,C17 H19 N1 O13,17,19,1,13,0,445,0
21677,2.19819884454571e-05,C11 H7 N1 O7,11,7,1,7,0,265,0
21677,0.0012749110579689,C25 H22 O17,25,22,0,17,0,594,0
21677,3.16191690803538e-05,C19 H11 N1 O14,19,11,1,14,0,477,0
21677,9.1699615048263e-05,C25 H32 N2 O21 S1,25,32,2,21,1,728,0
21677,9.1699615048263e-05,C33 H28 O19,33,28,0,19,0,728,0
21677,0.0005560269872209,C21 H16 O17,21,16,0,17,0,540,0
21677,0.0007076807727965,C17 H18 O14,17,18,0,14,0,446,0
21677,1.64540420674949e-05,C14 H19 N1 O9,14,19,1,9,0,345,0
21677,0.0001871120299026,C34 H30 O22,34,30,0,22,0,790,0
21677,0.0023351624195064,C20 H16 O14,20,16,0,14,0,480,0
21677,0.0002259319176312,C17 H14 O15,17,14,0,15,0,458,0
21677,0.0002310724851677,C27 H16 O16,27,16,0,16,0,596,0
21677,3.09405014735217e-05,C17 13C1 H9 N1 O10,17,9,1,10,0,400,0
21677,1.44381628231834e-05,C10 H13 N1 O7,10,13,1,7,0,259,0
21677,1.41825934056365e-05,C5 H7 N1 O6,5,7,1,6,0,177,0
21677,3.28235651150136e-05,C17 H12 O11 S1,17,12,0,11,1,424,0
21677,6.08446387735267e-05,C30 H14 O20,30,14,0,20,0,694,0
21677,1.73399825090303e-05,C12 H15 N1 O9,12,15,1,9,0,317,0
21677,2.90841015704747e-05,C10 H6 O5,10,6,0,5,0,206,0
21677,0.0003882255410252,C28 H18 O17,28,18,0,17,0,626,0
21677,6.37625573203215e-05,C20 13C1 H19 N1 O23,20,19,1,23,0,654,0
21677,0.0001031695503841,C23 H23 N1 O15,23,23,1,15,0,553,0
21677,0.0001213592508976,C25 H22 O13 S1,25,22,0,13,1,562,0
21677,3.94618298089717e-05,C18 13C1 H14 O14 S1,18,14,0,14,1,499,0
21677,2.92108801004389e-05,C38 H73 N1 O4 S1,38,73,1,4,1,640,0
21677,5.53936650744713e-05,C24 H16 N2 O20,24,16,2,20,0,652,0
21677,0.0001638899260747,C36 H28 O24,36,28,0,24,0,844,0
21677,4.12659084139383e-05,C13 H16 O15 S1,13,16,0,15,1,444,0
21677,0.0002139347445993,C23 13C1 H24 O17,23,24,0,17,0,585,0
