formula_string,C,H,O,N,S
C20 H12 O16 S1,20,12,16,0,1
C25 H12 N2 O13,25,12,13,2,0
C24 H14 O22 S1,24,14,22,0,1
C31 H18 O23,31,18,23,0,0
C27 H34 N2 O22 S1,27,34,22,2,1
C38 H72 O4,38,72,4,0,0
C27 H23 N1 O16,27,23,16,1,0
C22 H22 O16,22,22,16,0,0
C16 13C1 H12 O9,16,12,9,0,0
C19 H20 O9,19,20,9,0,0
C38 H74 O9,38,74,9,0,0
C36 H30 O20 S1,36,30,20,0,1
C28 H22 O19,28,22,19,0,0
C28 H25 N1 O17,28,25,17,1,0
C23 13C1 H18 N2 O19,23,18,19,2,0
C22 13C1 H16 O15,22,16,15,0,0
C26 H17 N1 O15 S1,26,17,15,1,1
C31 H27 N1 O14 S1 34S1,31,27,14,1,1
C25 H18 O14,25,18,14,0,0
C18 H19 N1 O11,18,19,11,1,0
C23 H12 O18,23,12,18,0,0
C20 13C1 H22 O16,20,22,16,0,0
C12 13C1 H12 O11,12,12,11,0,0
C12 H10 O12,12,10,12,0,0
C22 H15 N1 O14 S1,22,15,14,1,1
C35 H32 O21,35,32,21,0,0
C13 H11 N1 O8,13,11,8,1,0
C13 H10 O11,13,10,11,0,0
C27 H20 N2 O21 S1,27,20,21,2,1
C25 H20 N2 O23 S1,25,20,23,2,1
C23 13C1 H16 O14,23,16,14,0,0
C21 13C1 H22 O17,21,22,17,0,0
C21 H19 N1 O13,21,19,13,1,0
C21 H15 N1 O12,21,15,12,1,0
C22 H11 N1 O14,22,11,14,1,0
C31 13C1 H30 O23,31,30,23,0,0
C19 13C1 H14 O17,19,14,17,0,0
C24 H15 N1 O15,24,15,15,1,0
C14 H8 O8,14,8,8,0,0
C20 H16 N2 O18,20,16,18,2,0
C19 H23 N1 O12,19,23,12,1,0
C9 H9 N1 O6,9,9,6,1,0
C7 13C1 H8 O4 S1,7,8,4,0,1
C30 H26 O22,30,26,22,0,0
C19 H18 O16,19,18,16,0,0
C27 H25 N1 O24,27,25,24,1,0
C26 H20 O17,26,20,17,0,0
C31 H30 O17,31,30,17,0,0
C26 H18 N2 O14 S1,26,18,14,2,1
C34 H71 N1 O8,34,71,8,1,0
C27 H14 N2 O16,27,14,16,2,0
C20 H10 O16,20,10,16,0,0
C11 H8 O6,11,8,6,0,0
C21 H18 N2 O19,21,18,19,2,0
C22 H20 O16,22,20,16,0,0
C43 H78 N2 O3 34S1,43,78,3,2,0
C22 H10 N2 O15,22,10,15,2,0
C9 13C1 H8 O7,9,8,7,0,0
C17 H10 O12,17,10,12,0,0
C29 H25 N1 O22,29,25,22,1,0
C18 13C1 H10 O12,18,10,12,0,0
C21 H23 N1 O11,21,23,11,1,0
C25 H24 O20,25,24,20,0,0
C25 H28 O19,25,28,19,0,0
C16 H12 O9,16,12,9,0,0
C12 13C1 H18 O10,12,18,10,0,0
C25 13C1 H24 O15,25,24,15,0,0
C23 H14 O19,23,14,19,0,0
C10 H8 O7,10,8,7,0,0
C24 H10 O18,24,10,18,0,0
C33 H22 O20 S1,33,22,20,0,1
C12 H14 O4,12,14,4,0,0
C34 H66 O7,34,66,7,0,0
C12 H6 O1 S1,12,6,1,0,1
C24 13C1 H24 N2 O25 S1,24,24,25,2,1
C32 13C1 H20 O23,32,20,23,0,0
C28 H24 O21,28,24,21,0,0
C12 H8 O6,12,8,6,0,0
C31 13C1 H28 O22,31,28,22,0,0
C24 H21 N1 O16,24,21,16,1,0
C22 H18 O16,22,18,16,0,0
C22 H15 N1 O17 34S1,22,15,17,1,0
C24 H28 O18,24,28,18,0,0
C20 H15 N1 O22,20,15,22,1,0
C20 H17 N1 O10,20,17,10,1,0
C29 H26 O21,29,26,21,0,0
C41 H68 O1,41,68,1,0,0
C20 H19 N1 O11,20,19,11,1,0
C15 H8 O4,15,8,4,0,0
C30 H22 N2 O16,30,22,16,2,0
C20 H15 N1 O12,20,15,12,1,0
C16 H11 N1 O11 S1,16,11,11,1,1
C27 H26 N2 O25 S1,27,26,25,2,1
C35 H22 O23,35,22,23,0,0
C18 H16 O9 S1,18,16,9,0,1
C21 H12 O7 S1,21,12,7,0,1
C35 H70 O4,35,70,4,0,0
C7 H8 O6,7,8,6,0,0
C24 H27 N1 O21 S1,24,27,21,1,1
C22 H18 O14,22,18,14,0,0
C9 H4 N2 O9 S1,9,4,9,2,1
C23 13C1 H20 O18,23,20,18,0,0
C29 H14 N2 O17,29,14,17,2,0
C11 H16 O12 S1,11,16,12,0,1
C39 H71 N1 O6,39,71,6,1,0
C22 13C1 H14 O16,22,14,16,0,0
C17 13C1 H20 O9,17,20,9,0,0
C11 H12 O6,11,12,6,0,0
C25 H16 O17,25,16,17,0,0
C17 13C1 H22 O9,17,22,9,0,0
C20 13C1 H18 N2 O19,20,18,19,2,0
C22 H21 N1 O17 S1,22,21,17,1,1
C15 H15 N1 O8,15,15,8,1,0
C28 H23 N1 O10 S1 34S1,28,23,10,1,1
C15 13C1 H12 O14,15,12,14,0,0
C28 H22 O22,28,22,22,0,0
C13 13C1 H10 O12,13,10,12,0,0
C31 H24 O22,31,24,22,0,0
C16 H6 O5 S1,16,6,5,0,1
C21 13C1 H24 O12,21,24,12,0,0
C22 H16 N2 O18 S1,22,16,18,2,1
C30 H12 O16,30,12,16,0,0
C32 H28 O21,32,28,21,0,0
C15 H7 N1 O9,15,7,9,1,0
C14 13C1 H20 O8,14,20,8,0,0
C25 H24 O14,25,24,14,0,0
C21 H18 O13,21,18,13,0,0
C22 H16 O6 S1,22,16,6,0,1
C26 H28 O16,26,28,16,0,0
C14 H10 O3 S1,14,10,3,0,1
C24 H22 N2 O20 S1,24,22,20,2,1
C16 H17 N1 O12,16,17,12,1,0
C23 H20 O17,23,20,17,0,0
C21 H20 O17,21,20,17,0,0
C18 13C1 H12 O14,18,12,14,0,0
C19 H18 O20 34S1,19,18,20,0,0
C30 H26 O18,30,26,18,0,0
C24 H16 O18,24,16,18,0,0
C15 H6 O11,15,6,11,0,0
C38 H30 O24,38,30,24,0,0
C20 H8 O15,20,8,15,0,0
C21 13C1 H16 O14,21,16,14,0,0
C26 H27 N1 O21,26,27,21,1,0
C18 H13 N1 O11,18,13,11,1,0
C23 H20 O16,23,20,16,0,0
C23 H16 O14,23,16,14,0,0
C27 13C1 H28 O19,27,28,19,0,0
C26 H20 O15,26,20,15,0,0
C12 13C1 H10 O9,12,10,9,0,0
C11 13C1 H10 O8,11,10,8,0,0
C22 H20 O13,22,20,13,0,0
C16 13C1 H12 O13,16,12,13,0,0
C16 H14 O7,16,14,7,0,0
C34 H28 O19,34,28,19,0,0
C29 H21 N1 O19 S1,29,21,19,1,1
C17 H22 O10,17,22,10,0,0
C21 H20 N2 O18,21,20,18,2,0
C29 H14 N2 O19,29,14,19,2,0
C17 H11 N1 O10,17,11,10,1,0
C16 H12 O14,16,12,14,0,0
C29 H32 O20,29,32,20,0,0
C11 H10 O12 S1,11,10,12,0,1
C29 H24 O24,29,24,24,0,0
C36 H76 N2 O4 S1,36,76,4,2,1
C25 H12 O18,25,12,18,0,0
C11 H8 O4,11,8,4,0,0
C9 H12 O8,9,12,8,0,0
C27 H32 O17,27,32,17,0,0
C43 H76 O9,43,76,9,0,0
C37 H32 O25 S1,37,32,25,0,1
C29 H26 O19,29,26,19,0,0
C28 H23 N1 O17,28,23,17,1,0
C51 H86 O14 S1,51,86,14,0,1
C21 13C1 H22 O15,21,22,15,0,0
C14 H18 N2 O14 S1,14,18,14,2,1
C22 H14 O12,22,14,12,0,0
C30 H16 O19,30,16,19,0,0
C33 H28 O20,33,28,20,0,0
C10 H5 N1 O7,10,5,7,1,0
C23 H17 N1 O11 S1,23,17,11,1,1
C20 H24 O10,20,24,10,0,0
C28 H23 N1 O22,28,23,22,1,0
C30 13C1 H24 O19,30,24,19,0,0
C23 H17 N1 O16,23,17,16,1,0
C26 13C1 H16 O17,26,16,17,0,0
C28 H22 N2 O17 S1,28,22,17,2,1
C15 H10 O7,15,10,7,0,0
C31 H21 N1 O21,31,21,21,1,0
C23 13C1 H12 O16,23,12,16,0,0
C18 H14 O12,18,14,12,0,0
C27 13C1 H22 O21,27,22,21,0,0
C21 H22 N2 O22 S1,21,22,22,2,1
C29 H18 O20,29,18,20,0,0
C32 H26 O20,32,26,20,0,0
C13 H14 O11,13,14,11,0,0
C17 H19 N1 O13,17,19,13,1,0
C11 H7 N1 O7,11,7,7,1,0
C25 H22 O17,25,22,17,0,0
C19 H11 N1 O14,19,11,14,1,0
C25 H32 N2 O21 S1,25,32,21,2,1
C33 H28 O19,33,28,19,0,0
C21 H16 O17,21,16,17,0,0
C17 H18 O14,17,18,14,0,0
C14 H19 N1 O9,14,19,9,1,0
C34 H30 O22,34,30,22,0,0
C20 H16 O14,20,16,14,0,0
C17 H14 O15,17,14,15,0,0
C27 H16 O16,27,16,16,0,0
C17 13C1 H9 N1 O10,17,9,10,1,0
C10 H13 N1 O7,10,13,7,1,0
C5 H7 N1 O6,5,7,6,1,0
C17 H12 O11 S1,17,12,11,0,1
C30 H14 O20,30,14,20,0,0
C12 H15 N1 O9,12,15,9,1,0
C10 H6 O5,10,6,5,0,0
C28 H18 O17,28,18,17,0,0
C20 13C1 H19 N1 O23,20,19,23,1,0
C23 H23 N1 O15,23,23,15,1,0
C25 H22 O13 S1,25,22,13,0,1
C18 13C1 H14 O14 S1,18,14,14,0,1
C38 H73 N1 O4 S1,38,73,4,1,1
C24 H16 N2 O20,24,16,20,2,0
C36 H28 O24,36,28,24,0,0
C13 H16 O15 S1,13,16,15,0,1
C23 13C1 H24 O17,23,24,17,0,0
C25 13C1 H28 N2 O24 S1,25,28,24,2,1
C20 13C1 H24 O14,20,24,14,0,0
C21 H10 O14,21,10,14,0,0
C22 H17 N1 O13 34S1,22,17,13,1,0
C22 H14 N2 O18 S1,22,14,18,2,1
C19 H19 N1 O11,19,19,11,1,0
C26 H30 N2 O23 S1,26,30,23,2,1
C34 H26 O21,34,26,21,0,0
C17 H20 O9,17,20,9,0,0
C15 H17 N1 O8,15,17,8,1,0
C23 H24 N2 O21 S1,23,24,21,2,1
C31 H20 O19,31,20,19,0,0
C16 H10 O10,16,10,10,0,0
C17 13C1 H18 O10,17,18,10,0,0
C28 H14 O19,28,14,19,0,0
C10 H12 O12 S1,10,12,12,0,1
C19 13C1 H20 N2 O19,19,20,19,2,0
C21 H23 N1 O17 S1,21,23,17,1,1
C31 H29 N1 O23 S1,31,29,23,1,1
C14 13C1 H18 O10,14,18,10,0,0
C13 H10 O11 S1,13,10,11,0,1
C20 H20 O16,20,20,16,0,0
C26 13C1 H20 O20,26,20,20,0,0
C27 H30 O16,27,30,16,0,0
C25 H14 O19,25,14,19,0,0
C15 H8 O8 S1,15,8,8,0,1
