timepoint,cd_name,empty_slots,free_bikes,slots
0,Bay Ridge and Dyker Heights (CD10),24,63,93
0,Bedford Stuyvesant (CD3),924,368,1404
0,Belmont and East Tremont (CD6),7,24,35
0,Borough Park (CD12),28,164,202
0,Brownsville (CD16),312,77,403
0,Bushwick (CD4),801,379,1255
0,Central Harlem (CD10),501,488,1085
0,Clinton and Chelsea (CD4),1552,982,2921
0,Crown Heights and Prospect Heights (CD8),826,282,1204
0,East Flatbush (CD17),38,531,591
0,East Harlem (CD11),414,652,1160
0,East New York and Starrett City (CD5),11,9,21
0,Elmhurst and Corona (CD4),152,426,600
0,Financial District (CD1),578,2054,2869
0,Flatbush and Midwood (CD14),63,365,462
0,Fordham and University Heights (CD5),545,244,860
0,Fort Greene and Brooklyn Heights (CD2),1299,1795,3365
0,Greenpoint and Williamsburg (CD1),1387,1799,3415
0,Greenwich Village and Soho (CD2),1100,1740,3161
0,Highbridge and Concourse (CD4),573,620,1294
0,Hunts Point and Longwood (CD2),210,212,449
0,Jackson Heights (CD3),873,687,1632
0,Kingsbridge Heights and Bedford (CD7),484,355,930
0,Long Island City and Astoria (CD1),1413,1409,2984
0,Lower East Side and Chinatown (CD3),1673,1181,3096
0,Midtown (CD5),1697,2421,4692
0,Morningside Heights and Hamilton Heights (CD9),581,324,1005
0,Morrisania and Crotona (CD3),321,434,832
0,Mott Haven and Melrose (CD1),450,581,1115
0,Park Slope and Carroll Gardens (CD6),728,1154,2079
0,Ridgewood and Maspeth (CD5),719,589,1380
0,South Crown Heights and Lefferts Gardens (CD9),426,601,1074
0,Stuyvesant Town and Turtle Bay (CD6),1194,918,2396
0,Sunset Park (CD7),519,1062,1648
0,Upper East Side (CD8),1342,510,2063
0,Upper West Side (CD7),1348,214,1814
0,Washington Heights and Inwood (CD12),588,555,1236
0,Woodside and Sunnyside (CD2),924,1114,2154
1,Bay Ridge and Dyker Heights (CD10),24,63,93
1,Bedford Stuyvesant (CD3),953,341,1404
1,Belmont and East Tremont (CD6),8,23,35
1,Borough Park (CD12),31,161,202
1,Brownsville (CD16),311,78,403
1,Bushwick (CD4),823,357,1255
1,Central Harlem (CD10),510,484,1085
1,Clinton and Chelsea (CD4),1524,1010,2921
1,Crown Heights and Prospect Heights (CD8),844,268,1204
1,East Flatbush (CD17),40,528,591
1,East Harlem (CD11),435,631,1160
1,East New York and Starrett City (CD5),11,9,21
1,Elmhurst and Corona (CD4),153,429,600
1,Financial District (CD1),503,2126,2869
1,Flatbush and Midwood (CD14),66,362,462
1,Fordham and University Heights (CD5),555,245,860
1,Fort Greene and Brooklyn Heights (CD2),1271,1821,3365
1,Greenpoint and Williamsburg (CD1),1394,1793,3415
1,Greenwich Village and Soho (CD2),958,1877,3161
1,Highbridge and Concourse (CD4),570,623,1294
1,Hunts Point and Longwood (CD2),211,212,449
1,Jackson Heights (CD3),876,686,1632
1,Kingsbridge Heights and Bedford (CD7),486,353,930
1,Long Island City and Astoria (CD1),1422,1393,2984
1,Lower East Side and Chinatown (CD3),1760,1086,3096
1,Midtown (CD5),1573,2557,4692
1,Morningside Heights and Hamilton Heights (CD9),540,361,1005
1,Morrisania and Crotona (CD3),324,432,832
1,Mott Haven and Melrose (CD1),452,579,1115
1,Park Slope and Carroll Gardens (CD6),727,1161,2079
1,Ridgewood and Maspeth (CD5),720,588,1380
1,South Crown Heights and Lefferts Gardens (CD9),429,599,1074
