measurement_id,formula_string,C,H,O,N,S
7937,C15 H11 N1 O6,15,11,6,1,0
7937,C26 H20 O15,26,20,15,0,0
7937,C15 H17 N1 O8,15,17,8,1,0
7937,C20 H21 N1 O10,20,21,10,1,0
7937,C33 H46 O11,33,46,11,0,0
7937,C16 H22 O8,16,22,8,0,0
7937,C9 H5 N1 O5,9,5,5,1,0
7937,C15 H17 N1 O4,15,17,4,1,0
7937,C13 H16 O8,13,16,8,0,0
7937,C22 H20 O8,22,20,8,0,0
7937,C21 H20 O9,21,20,9,0,0
7937,C10 H14 O7,10,14,7,0,0
7937,C20 H14 O9,20,14,9,0,0
7937,C15 H12 O11,15,12,11,0,0
7937,C23 H29 N1 O11,23,29,11,1,0
7937,C26 H20 O8 S1,26,20,8,0,1
7937,C19 H8 O10,19,8,10,0,0
7937,C22 H25 N1 O8,22,25,8,1,0
7937,C27 H42 O8,27,42,8,0,0
7937,C13 H7 N1 O5,13,7,5,1,0
7937,C15 H16 N2 O4,15,16,4,2,0
7937,C17 H12 O4,17,12,4,0,0
7937,C28 H38 O13,28,38,13,0,0
7937,C10 H9 N1 O4,10,9,4,1,0
7937,C30 H46 O10,30,46,10,0,0
7937,C28 H34 O7,28,34,7,0,0
7937,C19 H32 O5,19,32,5,0,0
7937,C16 H18 O11,16,18,11,0,0
7937,C17 H8 O4 S1,17,8,4,0,1
7937,C16 H20 O7 S1,16,20,7,0,1
7937,C23 H32 O9,23,32,9,0,0
7937,C30 H34 O15,30,34,15,0,0
7937,C17 H15 N1 O6,17,15,6,1,0
7937,C19 H8 O6 S1,19,8,6,0,1
7937,C20 H30 O6,20,30,6,0,0
7937,C10 H16 N2 O10 S1,10,16,10,2,1
7937,C16 H13 N1 O9,16,13,9,1,0
7937,C17 H10 O3 S1,17,10,3,0,1
7937,C13 H7 N1 O4,13,7,4,1,0
7937,C21 H19 N1 O10,21,19,10,1,0
7937,C12 H17 N1 O6,12,17,6,1,0
7937,C14 H15 N1 O6,14,15,6,1,0
7937,C25 H18 O11,25,18,11,0,0
7937,C30 H38 O11,30,38,11,0,0
7937,C22 H20 O7,22,20,7,0,0
7937,C15 H19 N1 O10,15,19,10,1,0
7937,C9 H5 N1 O6,9,5,6,1,0
7937,C16 H24 O9,16,24,9,0,0
7937,C17 H14 O8,17,14,8,0,0
7937,C15 H21 N1 O9,15,21,9,1,0
7937,C25 H34 O5,25,34,5,0,0
7937,C20 H20 O4,20,20,4,0,0
7937,C18 H20 O9,18,20,9,0,0
7937,C24 H27 N1 O9,24,27,9,1,0
7937,C31 H42 O12,31,42,12,0,0
7937,C21 H19 N1 O7,21,19,7,1,0
7937,C19 H21 N1 O10,19,21,10,1,0
7937,C22 H24 O14,22,24,14,0,0
7937,C12 H6 O6,12,6,6,0,0
7937,C10 H4 O8,10,4,8,0,0
7937,C20 H22 O9,20,22,9,0,0
7937,C21 H34 O10,21,34,10,0,0
7937,C29 H36 O12,29,36,12,0,0
7937,C10 H13 N1 O5,10,13,5,1,0
